player_name,season,cii_archetype,tii_archetype,combined_archetype,confidence,notes
Khris Middleton,2020-21,Strong Creator,Limited Scaling,Luxury Amplifier,High,"Championship. Elite 3-and-D plus mid-range. Giannis is the Engine."
Khris Middleton,2021-22,Strong Creator,Limited Scaling,Luxury Amplifier,High,"Peak Middleton. Excellent but not a #1."
Pascal Siakam,2019-20,Strong Creator,Moderate Scaling,Luxury Amplifier,Medium,"MIP, All-NBA. Creation improving but plateaued."
Pascal Siakam,2021-22,Strong Creator,Limited Scaling,Luxury Amplifier,High,"Showed limitations as #1. Good but not Engine."
Zach LaVine,2021-22,Strong Creator,Limited Scaling,Luxury Amplifier,High,"25 PPG. Volume scorer. Efficiency inconsistent in playoffs."
CJ McCollum,2020-21,Strong Creator,Limited Scaling,Luxury Amplifier,High,"Elite shot maker. Not a #1 but excellent #2."
Tobias Harris,2019-20,Developing,Limited Scaling,Luxury Amplifier,High,"Max contract. Compiler, not creator. Limited upside."
Tobias Harris,2020-21,Developing,Limited Scaling,Luxury Amplifier,High,"Same pattern. Good stats, limited creation."

# =============================================================================
# DEVELOPING STARS - Raw but high ceiling (Low CII, High TII)
# =============================================================================
Jayson Tatum,2017-18,Developing,Elite Scaling,Developing Star,High,"Rookie. Age 19. Could get any shot. Efficiency inconsistent but tools elite."
Jayson Tatum,2018-19,Developing,Elite Scaling,Developing Star,High,"Age 20. Still developing but ceiling obvious."
Luka Dončić,2018-19,Strong Creator,Elite Scaling,Developing Star,High,"ROY. Age 19. Already creating but raw."
Luka Dončić,2019-20,Strong Creator,Elite Scaling,Latent Engine,High,"Age 20. 29/9/9. Scaling visible."
Nikola Jokić,2018-19,Developing,High Scaling,Developing Star,High,"Age 23. Hub creation emerging. Not yet at peak."
Nikola Jokić,2019-20,Strong Creator,High Scaling,Latent Engine,High,"Age 24. MVP trajectory clear."
Giannis Antetokounmpo,2018-19,Strong Creator,High Scaling,Developing Star,High,"Age 24. MVP. Force creation present but playoff questions."
Giannis Antetokounmpo,2019-20,Strong Creator,High Scaling,Latent Engine,High,"Back-to-back MVP. Force fully developed."
Anthony Davis,2017-18,Strong Creator,High Scaling,Developing Star,Medium,"Age 24. Elite two-way. Creation via rim pressure."
Anthony Davis,2018-19,Strong Creator,High Scaling,Developing Star,High,"Age 25. MVP candidate. Portable but needs playmaker."

# =============================================================================
# FRAGILE STARS - Stats but fatal creation flaws (Special case)
# =============================================================================
Ben Simmons,2017-18,Role Player,Limited Scaling,Fragile Star,High,"Rookie. Triple-double machine. But ZERO self-created jumpers. Hiding pattern."
Ben Simmons,2018-19,Role Player,Limited Scaling,Fragile Star,High,"All-Star. Usage drops in clutch. No jump shot. Latent? NO - no tools."
Ben Simmons,2019-20,Role Player,Limited Scaling,Fragile Star,High,"Red flags clear. Passing out of open dunks. Negative leverage."
Ben Simmons,2020-21,Role Player,Limited Scaling,Fragile Star,High,"Hawks collapse. The fraud fully exposed. No trajectory."
Karl-Anthony Towns,2018-19,Developing,Limited Scaling,Fragile Star,High,"Elite skills but playoff creation poor. Can shoot but can't create against scheme."
Karl-Anthony Towns,2019-20,Developing,Limited Scaling,Fragile Star,High,"Pattern continues. High skills, low force, negative pressure."
Julius Randle,2020-21,Strong Creator,Limited Scaling,Fragile Star,High,"All-NBA. 24 PPG. Playoffs: 18 PPG on 30% FG. ISO EFG collapsed. False Latent."
Andrew Wiggins,2016-17,Developing,Limited Scaling,Fragile Star,High,"24 PPG at 21. Volume without efficient creation. ISO EFG poor."
Andrew Wiggins,2017-18,Developing,Limited Scaling,Fragile Star,High,"Same pattern. Volume scorer, low efficiency on self-created."

# =============================================================================
# ROLE PLAYERS - Limited creation, limited ceiling (Low CII, Low TII)
# =============================================================================
Domantas Sabonis,2021-22,Role Player,Limited Scaling,Role Player,High,"All-Star. Elite passing. But HIDES under pressure. Not a creator."
Domantas Sabonis,2022-23,Role Player,Limited Scaling,Role Player,High,"Traded for Haliburton. Proves the point - Hali was the asset."
Tyus Jones,2021-22,Role Player,Limited Scaling,Role Player,High,"Elite AST/TO ratio. No star-level creation."
Monte Morris,2020-21,Role Player,Limited Scaling,Role Player,High,"Solid backup. No creation ceiling."
Derrick White,2021-22,Role Player,Limited Scaling,Role Player,High,"3-and-D plus playmaking. Not a creator."
Mikal Bridges,2021-22,Role Player,Limited Scaling,Role Player,High,"Elite 3-and-D. Brooklyn showed creation limits. System merchant."
Mikal Bridges,2022-23,Developing,Limited Scaling,Role Player,High,"Brooklyn high usage. Efficiency collapsed. No latent ability."
Rudy Gobert,2021-22,Role Player,Limited Scaling,Role Player,High,"DPOY. Zero creation. Correct role."

